TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.02327274,0.04850635,0.03338707,0.0190194,0.01382752,0.07047164,0.007964713,0.002332375,0.03489116,0.02282627,0.02070632,0.001119922,0.01972865,0.0009049783,0.06805709,0.00124393,0.01958297,0.02114308,0.01860834,0.007708322,4.354976E-05,0.0494563,3.535808E-06,0.0002641057,0.05173035,0.0001875448,0.005287429,0.0005932804,0.007808295,2.317442E-05,0.01559141,0.0002225536,0.009923103,0.01134508,0.01335356,0.0191885,0.02691435,0.05873602,0.006869853,0.001527607,0.03661675,0.1278578,0.324601,0.01100171,0.05283711,0.002829579,0.3932917,0.05423816,0.2089025,0.001439352,0.01908572,0.3685918,0.002999766,0.09969191,0.01834588,0.02550688,0.1042485,1.294823,1.916327,0.5950794,0.1853492,0.08881347,0.01279858,0.0111859,0.01048513,5.639826,0.02000926,0.003202434,0.04930459,0.2161848,5.091137,6.309041,16.78189,24.02685,41.41048,3.361085,33.399,71.35074
2,0.02333987,0.04888916,0.03357465,0.01912616,0.0138416,0.07028135,0.007959153,0.002346951,0.03490252,0.02280451,0.02073732,0.001118107,0.01984539,0.0009104899,0.07004447,0.001239668,0.01974649,0.02172069,0.01848889,0.007631718,3.869345E-05,0.04608057,3.559312E-06,0.0002698098,0.05209586,0.0001769174,0.005265669,0.0005894924,0.007606534,2.321823E-05,0.01541501,0.0002195183,0.009962585,0.0110903,0.009861647,0.01935945,0.02700972,0.05876233,0.006675638,0.001437526,0.03754151,0.1291596,0.3287185,0.01108378,0.05161477,0.002616088,0.4026259,0.05532186,0.2160392,0.001404537,0.01894042,0.3750365,0.00299263,0.09805907,0.01827807,0.03081285,0.1125596,1.389784,1.738662,0.510749,0.1685467,0.08343915,0.01621646,0.01192392,0.01099702,5.573453,0.01027983,0.003205697,0.05375035,0.2148974,5.43371,6.237957,16.93233,24.05216,41.48388,3.371332,33.48085,71.53127
3,0.02339597,0.04924705,0.03375062,0.01922377,0.01385534,0.07007453,0.007952758,0.00236098,0.03491189,0.02278206,0.02076376,0.001116144,0.01995829,0.0009159627,0.07205956,0.001235652,0.01990253,0.02245039,0.01836525,0.007622006,4.964507E-05,0.04429222,3.372824E-06,0.000275632,0.05244318,0.0001746284,0.005240218,0.0006047442,0.007513154,2.326167E-05,0.01524111,0.0002184626,0.009997203,0.01092497,0.009069638,0.01960413,0.02716866,0.05883702,0.006487913,0.001355065,0.03840232,0.1298284,0.3270115,0.01119001,0.05055824,0.002455587,0.414457,0.0563339,0.2231816,0.001370865,0.01880342,0.3809977,0.002990463,0.09764361,0.01821004,0.03581147,0.1223333,1.439598,1.787966,0.5777976,0.1734477,0.086257,0.02168861,0.0132798,0.01153033,5.502977,0.005914425,0.003426431,0.05879085,0.2129215,5.738055,6.157743,16.88244,24.06867,41.47301,3.37698,33.39637,71.75417
4,0.02344819,0.04957755,0.03391804,0.01931787,0.01386753,0.06986128,0.007945887,0.002374791,0.03491937,0.02275874,0.0207848,0.001113699,0.02006367,0.0009212833,0.07406517,0.001232009,0.0200526,0.0232131,0.01823806,0.007648677,5.967926E-05,0.04540101,3.381343E-06,0.0002789027,0.05275645,0.0001819201,0.005223821,0.0006316091,0.007657361,2.330443E-05,0.0150705,0.0002240405,0.01002712,0.01106072,0.009825647,0.02023244,0.02731964,0.05904249,0.006418429,0.001320737,0.03922224,0.1302533,0.3214356,0.01129699,0.05048713,0.002473298,0.4261682,0.05725911,0.22876,0.001339202,0.01866887,0.3859347,0.002984319,0.09749176,0.01814234,0.0398799,0.1324585,1.403381,1.961546,0.7262806,0.1810813,0.09175997,0.02783506,0.01474013,0.01188107,5.427593,0.008345522,0.003514876,0.06391624,0.2097703,5.992747,6.067083,16.70114,24.06559,41.4203,3.384695,33.2986,71.70435
5,0.02350209,0.04987952,0.03407814,0.01941347,0.01388056,0.06965476,0.007939058,0.002388568,0.03492526,0.02273475,0.02080251,0.001110996,0.02016853,0.0009264186,0.07609951,0.001228692,0.02019759,0.02377127,0.01811166,0.007691019,6.745102E-05,0.04654839,3.614441E-06,0.0002559664,0.05305157,0.0001916244,0.005217799,0.0006576595,0.00782692,2.334872E-05,0.01490533,0.0002309322,0.01005275,0.01133515,0.009407123,0.02026607,0.02740581,0.05929819,0.006455204,0.001325567,0.03904147,0.1306938,0.3203278,0.01138296,0.05083978,0.002557559,0.4368078,0.05700503,0.2291519,0.001309639,0.0185392,0.3907978,0.002993418,0.09733489,0.01807705,0.03961466,0.1419183,1.262509,2.153038,0.8548089,0.1882538,0.09859388,0.0311998,0.01520059,0.01203979,5.375539,0.01635806,0.003518009,0.06837568,0.2072046,6.019345,5.977402,16.59415,24.05664,41.38923,3.392629,33.35762,71.52879
6,0.02357015,0.05015858,0.03423358,0.01952019,0.01390551,0.06946927,0.007934474,0.002404328,0.0349302,0.02271045,0.02082148,0.001108447,0.0202949,0.0009311595,0.07829881,0.001225046,0.02032505,0.02277221,0.01801248,0.007724026,6.464656E-05,0.04742929,3.155591E-06,0.0002099379,0.05337176,0.000199345,0.005245637,0.0006727601,0.007882738,2.341191E-05,0.01479504,0.0002291135,0.01007879,0.01147214,0.006920751,0.01918572,0.0271943,0.05946832,0.006534662,0.001345197,0.03737556,0.1315997,0.3324201,0.01129684,0.05164354,0.002556492,0.4379076,0.05551257,0.2242244,0.001281285,0.01844848,0.3986255,0.003060316,0.09731309,0.01800544,0.03453132,0.1394131,1.168823,2.112425,0.8021983,0.1823229,0.1008535,0.02202921,0.01337744,0.01181908,5.381455,0.02565066,0.003322875,0.06406991,0.2082361,5.719392,5.910605,16.82371,24.10762,41.45117,3.384176,33.61469,71.52766
7,0.0236473,0.05042584,0.03438779,0.01963352,0.01393671,0.0693043,0.007931438,0.002421035,0.03493507,0.02268632,0.02084361,0.001106245,0.02041654,0.0009340364,0.0805388,0.001213698,0.02036884,0.02112728,0.01793245,0.007701407,5.152133E-05,0.0479025,2.452107E-06,0.0001680344,0.0537239,0.0002011002,0.00528638,0.000668785,0.00785499,2.350739E-05,0.01465602,0.0002218111,0.01010596,0.01147136,0.004745342,0.01767697,0.02650903,0.0592936,0.006628039,0.001359548,0.0352978,0.132846,0.3505679,0.01105009,0.05270999,0.002433976,0.4274413,0.05359826,0.2177162,0.001253663,0.01838933,0.4085091,0.003148964,0.09552833,0.01787022,0.02871345,0.1257042,1.180218,1.964416,0.6762365,0.1620091,0.09561448,0.01333245,0.01117475,0.01092391,5.440938,0.03251879,0.002963018,0.05573868,0.2116849,5.302705,5.815734,17.24685,24.23295,41.56299,3.365323,33.80792,71.89626
8,0.02372768,0.05069138,0.03454395,0.01974927,0.01396961,0.06915527,0.007929571,0.002438237,0.03494148,0.02266324,0.02087023,0.001104279,0.02051835,0.000936827,0.08276776,0.001196009,0.02034689,0.01934697,0.01786122,0.007650001,3.891629E-05,0.04806192,1.961353E-06,0.0001336881,0.05409808,0.000199447,0.005326586,0.000655783,0.007790008,2.363886E-05,0.01451832,0.0002126801,0.01013511,0.01139476,0.00311936,0.01593099,0.02565822,0.05877772,0.006725074,0.00136659,0.03317834,0.1341085,0.3703037,0.01072124,0.05388787,0.002231417,0.41181,0.05159087,0.2106532,0.001227153,0.01835364,0.419615,0.003221718,0.09257356,0.01769305,0.02344759,0.1077762,1.277408,1.781352,0.5500473,0.1384001,0.08688711,0.007556561,0.009145925,0.009519225,5.532127,0.03691733,0.002648636,0.04693697,0.2163821,4.853466,5.719617,17.65327,24.38056,41.63938,3.331447,33.86822,72.30166
9,0.02380712,0.05095014,0.03470398,0.01986387,0.01400194,0.06901516,0.007928369,0.002455669,0.03495074,0.02264163,0.02090341,0.001102312,0.02058775,0.0009404665,0.08508193,0.001184937,0.02038175,0.01758714,0.01779,0.007668884,4.245085E-05,0.04852589,1.97463E-06,0.0001091095,0.05445434,0.0001971162,0.005358731,0.0006483782,0.007725127,2.376642E-05,0.01438258,0.0002039067,0.01016661,0.01134936,0.001969099,0.01411416,0.02497536,0.0581302,0.006824128,0.001382881,0.03113211,0.1350729,0.3896947,0.01036659,0.05521759,0.002011555,0.3936323,0.04960497,0.2018301,0.001202092,0.01831916,0.4307499,0.003243368,0.09177217,0.01754485,0.01894384,0.09025572,1.41245,1.619512,0.4542434,0.1223206,0.07907839,0.004193373,0.007395774,0.008552232,5.621404,0.04236897,0.003026627,0.0396509,0.2208447,4.382823,5.694942,17.90682,24.50521,41.67089,3.302456,33.84602,72.51353
10,0.02387292,0.05120445,0.0348682,0.01996509,0.01402145,0.06888232,0.007926251,0.002471506,0.03496383,0.02262168,0.02094146,0.001100029,0.02061668,0.0009443891,0.08735888,0.001180851,0.02048922,0.0171604,0.01768855,0.00771276,5.011783E-05,0.04886206,2.018284E-06,0.0001459741,0.05475068,0.0002017815,0.005354056,0.000675561,0.007878794,2.388E-05,0.01423043,0.0002038996,0.01019841,0.01154896,0.011765,0.01409471,0.0255806,0.05799196,0.006913708,0.001399816,0.03061813,0.135496,0.3737214,0.01009887,0.05600499,0.001960906,0.3949426,0.04871988,0.1989152,0.001178477,0.01826553,0.438363,0.003153025,0.09228121,0.01744423,0.01485867,0.081806,1.456122,1.804973,0.5601566,0.1308278,0.0821822,0.004332265,0.007738398,0.008635341,5.658293,0.04615381,0.003412896,0.03963646,0.2200964,4.249916,5.64717,17.63692,24.52517,41.59866,3.284275,33.54622,72.57055
