TimeStep,"Blacktip Shark|Blacktip shark","Dusky Shark|Dusky shark","Sandbar Shark|Sandbar shark","Large Coastal Sharks|Large coastal sharks","Large Oceanic Sharks|Large oceanic sharks","Atlantic Sharpnose Shark|Atlantic sharpnose shark","Small Coastal Sharks|Small coastal sharks","Yellowfin Tuna|Yellowfin tuna","Bluefin Tuna|Bluefin tuna","Other Tunas|Other tunas",Billfish|Billfish,Swordfish|Swordfish,"Pelagic Coastal Piscivores|Pelagic coastal piscivores",Amberjack|Amberjack,Cobia|Cobia,"King Mackerel (0-1)|King mackerel (0-1yr)","King Mackerel (1+)|King mackerel (1+yr)","Spanish Mackerel (0-1)|Spanish mackerel (0-1yr)","Spanish Mackerel (1+)|Spanish mackerel (1+yr)",Skates-rays|Skates-rays,"Gag grouper (0-3yr)|Gag grouper (0-3yr)","Gag grouper (3+yr)|Gag grouper (3+yr)","Red grouper (0-3yr)|Red grouper (0-3yr)","Red grouper (3+yr)|Red grouper (3+yr)","Yellowedge grouper (0-3yr)|Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)|Yellowedge grouper (3+yr)","Goliath grouper|Goliath grouper","Deep-water grouper|Deep-water grouper","Shallow-water grouper|Shallow-water grouper","Red snapper (0yr)|Red snapper (0yr)","Red snapper (1-2yr)|Red snapper (1-2yr)","Red snapper (3+yr)|Red snapper (3+yr)","Vermilion snapper|Vermilion snapper","Mutton snapper|Mutton snapper","Other snapper|Other snapper","Inshore coastal piscivores|Inshore coastal piscivores","Sea trout|Sea trout","Oceanic piscivores|Oceanic piscivores","Benthic piscivores|Benthic piscivores","Reef piscivores|Reef piscivores","Reef invertebrate feeders|Reef invertebrate feeders","Demersal coastal invertebrate feeders|Demersal coastal invertebrate feeders","Red drum|Red drum","Benthic coastal invertebrate feeders|Benthic coastal invertebrate feeders",Tilefish|Tilefish,"Gray triggerfish|Gray triggerfish","Coastal omnivores|Coastal omnivores","Reef omnivores|Reef omnivores","Surface pelagics|Surface pelagics",Sardine-herring-scad|Sardine-herring-scad,"Menhaden (0yr)|Menhaden (0yr)","Menhaden (1yr)|Menhaden (1yr)","Menhaden (2yr)|Menhaden (2yr)","Menhaden (3yr)|Menhaden (3yr)","Menhaden (4yr)|Menhaden (4yr)",Anchovy-silverside-killifish|Anchovy-silverside-killifish,Mullet|Mullet,Butterfish|Butterfish,Cephalopod|Cephalopod,"Pink shrimp|Pink shrimp","Brown shrimp|Brown shrimp","White shrimp|White shrimp",Crab|Crab,"Sessile epifauna|Sessile epifauna","Mobile epifauna|Mobile epifauna",Zooplankton|Zooplankton
11,6.852165E-05,0.0001269882,0.0001049732,0.00106766,1.459467E-06,0.004068844,0.0001668185,0.004699886,9.768873E-06,0.004826723,0.0006722952,0.006550214,0.00511999,0.003973419,0.001816249,0,0.003981473,6.730977E-06,4.429989E-05,0.0001020332,4.127219E-05,0.00164943,0,0.004431672,1.422312E-09,0.0007676905,9.360677E-05,0.001504182,0.001771636,0.006405144,0.002450781,0.00984033,0.005583669,0.00201222,0.0007450393,0.007309559,0.06352872,0.001616038,0.001186124,0.001270871,0.0002956912,0.01552031,0.005068644,0.009228704,1.063555E-05,0.003013818,0.06236273,2.002961E-05,0.0002869852,0.0001768092,0.002084914,0.4680898,0.4321462,0.0545709,0.01599992,1.951132E-08,0.002836563,0.0002640564,0.001040052,0.3741729,0.08899128,0.1032696,0.1130222,0.01203948,0.01844106,0
12,6.834746E-05,0.0001269265,0.0001056146,0.001068191,1.45841E-06,0.004072462,0.000166459,0.004688241,9.887847E-06,0.004949809,0.0006714918,0.006597133,0.00552303,0.003950155,0.001830519,0,0.003997133,6.800351E-06,5.398738E-05,0.0001026709,4.059931E-05,0.001633112,0,0.004554228,1.423046E-09,0.0007590421,9.778991E-05,0.001508461,0.001821258,0.01128032,0.002954467,0.01007284,0.005581726,0.002035741,0.0007505757,0.007465463,0.06402628,0.001580515,0.0011719,0.001286803,0.0002899242,0.01598904,0.005162116,0.009463815,1.040421E-05,0.002996877,0.06337203,1.933877E-05,0.0002878243,0.0001633933,0.002019013,0.5316496,0.5123146,0.06619705,0.01695783,2.903804E-08,0.003317408,0.0002711035,0.001037344,0.3684827,0.09232367,0.1030926,0.1109395,0.01271119,0.01830401,0
13,6.82774E-05,0.0001480515,0.0004842379,0.001068952,2.301075E-06,0.005048279,0.0001661518,0.004672017,1.000416E-05,0.005072536,0.0006713038,0.006646015,0.006011853,0.002528655,0.00159546,0,0.003605415,7.631013E-06,7.371628E-05,0.0001033201,3.946469E-05,0.001533799,0,0.004595825,1.424379E-09,0.002420467,0.0003354072,0.001512584,0.001817415,0.01055933,0.003085387,0.01060259,0.006110109,0.001938736,0.0007347152,0.007696757,0.06490976,0.001577407,0.001157371,0.001282076,0.0002856654,0.01653363,0.005308196,0.009816021,9.145578E-05,0.006223718,0.06453283,1.877413E-05,0.0002884371,0.0001618615,0.00189669,0.4025164,0.4008308,0.06291497,0.01371093,4.563044E-08,0.003783987,0.0002808378,0.001028441,0.2947558,0.09413184,0.09883907,0.1118146,0.01361599,0.01814002,0
14,6.827527E-05,0.0001480079,0.0004827057,0.001069698,2.299346E-06,0.005046439,0.0001659423,0.004655376,1.010512E-05,0.005200481,0.0006714524,0.00669401,0.006521786,0.002527237,0.001579756,0,0.003384424,8.35342E-06,7.628428E-05,0.0001040558,3.727582E-05,0.001522472,0,0.004520935,1.425641E-09,0.002265929,0.0003114988,0.00151627,0.001773653,0.007955182,0.003284582,0.01065454,0.006107259,0.001917018,0.0006970008,0.007934903,0.06601528,0.001577595,0.001148106,0.001247522,0.0002764732,0.01689888,0.005471858,0.01011704,8.915981E-05,0.00610414,0.06588303,1.853744E-05,0.0002843598,0.0001689301,0.001876525,0.38449,0.342486,0.0648711,0.0134121,5.667666E-08,0.003951438,0.0002904834,0.001017817,0.1959758,0.08766822,0.106476,0.1106297,0.01457468,0.0180442,0
15,6.838335E-05,0.0001479675,0.0004799601,0.001070522,2.297548E-06,0.005044787,0.0001658409,0.004641096,1.019133E-05,0.0053331,0.0006716959,0.006740215,0.006854171,0.002529598,0.001562296,0,0.003171718,8.942137E-06,7.990854E-05,0.0001048219,3.526641E-05,0.001510576,0,0.004391192,1.426886E-09,0.002212547,0.0002790292,0.00151937,0.001719443,0.005839432,0.003321491,0.01068295,0.006096688,0.00187108,0.0006506174,0.008184913,0.06705702,0.001576932,0.001142976,0.00120109,0.0002646378,0.01738976,0.005635354,0.01052471,8.682101E-05,0.005968522,0.06727257,1.848989E-05,0.0002792299,0.0001793482,0.00194698,0.357772,0.2878264,0.06186086,0.01268099,6.887726E-08,0.004222032,0.0003031808,0.001006603,0.1118222,0.08423609,0.1169477,0.1094941,0.01549261,0.01798722,0
16,6.851951E-05,0.0001479375,0.0004769822,0.001071495,2.295672E-06,0.00504197,0.0001657757,0.004629844,1.026662E-05,0.005467539,0.0006718004,0.006783726,0.006988721,0.002532507,0.001563468,0,0.003057452,9.047514E-06,8.352505E-05,0.0001055368,3.479665E-05,0.001497433,0,0.004326225,1.42787E-09,0.002159929,0.0002531052,0.001521839,0.001696553,0.005313035,0.003359386,0.01073483,0.006081221,0.001826921,0.0006088244,0.008417464,0.06772728,0.001574651,0.001137969,0.001166506,0.000255683,0.01803314,0.00578757,0.01095539,8.451709E-05,0.005837148,0.06857813,1.841751E-05,0.0002780628,0.0001891522,0.001939661,0.375821,0.3117087,0.07331973,0.01308326,8.44034E-08,0.004704169,0.0003176879,0.0009952226,0.06947199,0.08936048,0.128915,0.107995,0.01632476,0.01789186,0
17,6.868229E-05,0.000147924,0.0004742471,0.001072708,2.293702E-06,0.005042815,0.0001656844,0.004621074,1.033402E-05,0.005600717,0.0006719052,0.00682513,0.00713963,0.002534662,0.001578205,0,0.003147268,9.654719E-06,8.61713E-05,0.000106176,3.564274E-05,0.001487158,0,0.004408689,1.428999E-09,0.002109064,0.0002407519,0.001523696,0.001742227,0.005652076,0.00345212,0.01078308,0.006070506,0.001810455,0.0005924299,0.008638849,0.06826937,0.00157907,0.001133784,0.001166229,0.0002522129,0.0187014,0.00592727,0.0113104,8.228545E-05,0.005713521,0.06969149,1.826016E-05,0.0002779151,0.0001988528,0.001850205,0.4154605,0.3725846,0.09151746,0.01378981,9.943343E-08,0.005224522,0.0003284906,0.0009839694,0.07408592,0.09238771,0.1416115,0.1059292,0.01703612,0.01775876,0
18,6.877378E-05,0.0001478963,0.0004715163,0.00107383,2.291642E-06,0.005040922,0.0001655606,0.004615238,1.039195E-05,0.005734532,0.0006721113,0.006864681,0.007499276,0.002535543,0.001600062,0,0.003238984,1.092362E-05,7.973084E-05,0.0001067735,3.713414E-05,0.001480252,0,0.004507161,1.430556E-09,0.002060353,0.0002331508,0.001524988,0.001814074,0.005345163,0.003440205,0.01080482,0.006064684,0.001818846,0.0005974544,0.00852158,0.068659,0.001588681,0.001131545,0.001178938,0.0002541958,0.01924761,0.005875479,0.01119329,8.015492E-05,0.005598303,0.07086458,1.815938E-05,0.0002776798,0.0002093262,0.00169784,0.4471802,0.4232785,0.1114083,0.01465482,1.096308E-07,0.005441795,0.0003355227,0.000977897,0.142818,0.09272861,0.1532941,0.1043909,0.01694209,0.01762292,0
19,6.863358E-05,0.0001478314,0.0004687193,0.001074349,2.289538E-06,0.0050262,0.0001653648,0.004617042,1.041579E-05,0.00587903,0.0006719304,0.006897846,0.00721514,0.002535159,0.001621514,0,0.00331134,9.729346E-06,6.558443E-05,0.0001074208,3.845732E-05,0.001483643,0,0.004538731,1.43345E-09,0.002016947,0.0002133257,0.001526326,0.001841602,0.003927696,0.003247849,0.01070186,0.006068602,0.001837691,0.0006128682,0.008054174,0.0687265,0.001594103,0.001132348,0.00120642,0.0002533827,0.01926209,0.005664437,0.01077978,7.817523E-05,0.005498356,0.0727402,1.839889E-05,0.0002782001,0.0002155617,0.001575092,0.4368173,0.3909594,0.1161429,0.01478127,8.026007E-08,0.004842983,0.0003337189,0.000980546,0.2246356,0.09016362,0.1479131,0.1050645,0.01587387,0.0175836,0
20,6.833325E-05,0.0001477355,0.0004658138,0.001074453,2.287439E-06,0.00500473,0.0001651069,0.004618737,1.033589E-05,0.006036617,0.0006667417,0.006902633,0.006311604,0.002534414,0.001629352,0,0.003360318,7.615408E-06,5.251586E-05,0.0001081264,3.935739E-05,0.001490282,0,0.004519396,1.438222E-09,0.001974135,0.0001872345,0.001527873,0.001831659,0.002692946,0.002983496,0.010397,0.006077067,0.00186059,0.0006280438,0.007503115,0.06864623,0.001603645,0.001128635,0.001238884,0.00024694,0.01884558,0.005411847,0.01032822,7.635434E-05,0.005412026,0.0748765,1.886722E-05,0.0002727497,0.0002086421,0.001558267,0.4063665,0.3289746,0.1069094,0.01383385,5.175077E-08,0.004060754,0.000315042,0.0009908517,0.2846948,0.08587662,0.1360707,0.107096,0.01456543,0.01751298,0
